date,employees
10/27/2020,12894
10/28/2020,12907
10/29/2020,12696
10/30/2020,12362
10/31/2020,0
11/1/2020,0
11/2/2020,10905
11/3/2020,10614
11/4/2020,11289
11/5/2020,12026
11/6/2020,11649
11/7/2020,0
11/8/2020,0
11/9/2020,12166
11/10/2020,12582
11/11/2020,11264
11/12/2020,11849
11/13/2020,11209
11/14/2020,0
11/15/2020,0
11/16/2020,11680
11/17/2020,11885
11/18/2020,11635
11/19/2020,10587
11/20/2020,10211
11/21/2020,0
11/22/2020,0
11/23/2020,10394
11/24/2020,10748
11/25/2020,10748
11/26/2020,5038
11/27/2020,7177
11/28/2020,0
11/29/2020,0
11/30/2020,9749
12/1/2020,11221
12/2/2020,11331
12/3/2020,11052
12/4/2020,10488
12/5/2020,0
12/6/2020,0
12/7/2020,10136
12/8/2020,11028
